country,namePlant,latitude,longitude,primaryfuel
Argentina,MAR DEL PLATA (9 DE JULIO),-38.0495,-57.546,gas
Argentina,MAYOR BURATOVICH,-39.2291,-62.6497,wind
Argentina,MBURUCUYA,-28.0441,-58.2285,oil
Argentina,LA VIÑA,-31.8708,-65.0349,hydro
Argentina,GENERAL SAN MARTIN,-33.0449,-68.9219,hydro
Argentina,CUESTA DEL VIENTO,-30.1833,-69.0667,hydro
Argentina,GENERAL ACHA,-37.4309,-64.716,wind
Argentina,MODESTO MARANZANA,-33.1608,-64.3656,gas
Argentina,CT TUCUMAN,-26.9955,-65.166,gas
Argentina,CT VENADO TUERTO,-33.7736,-61.9564,oil
Argentina,CT VIALE,-31.8919,-60.0106,oil
Argentina,CT VILLA ANGELA,-27.5808,-60.7094,oil
Argentina,CT VILLA REGINA,-39.0872,-67.0881,oil
Argentina,Cafayate,-26.04,-65.93,solar
Argentina,Caldenes del Oeste,-33.61,-65.445,solar
Argentina,Cauchari,-23.8,-66.8,solar
Argentina,DEAN FUNES,-31.3934,-64.2059,gas
Argentina,DIQUE,-34.8902,-57.933,gas
Argentina,DOCK SUD,-34.6533,-58.342,gas
Argentina,GENERAL LEVALLE,-34.0364,-63.9217,gas
Argentina,EL CADILLAL,-26.6156,-65.1929,hydro
Argentina,EL CHOCON,-39.2577,-68.7483,hydro
Argentina,EL TIGRE,-34.61,-68.6136,hydro
Argentina,EL TUNAL,-25.2323,-64.4762,hydro
Argentina,EMBALSE,-32.2316,-64.4422,nuclear
Argentina,ESCABA,-27.6589,-65.7633,hydro
Argentina,ESQUINA,-30.0102,-59.5321,oil
Argentina,EX CENTRAL BUENOS AIRES,-34.627,-58.3382,gas
Argentina,FILO MORADO,-37.2742,-69.652,gas
Argentina,FITZ SIMON,-32.1784,-64.4207,hydro
Argentina,FLORENTINO AMEGHINO,-43.6996,-66.4815,hydro
Argentina,FUTALEUFU,-43.1288,-71.63,hydro
Argentina,GENERACION FRIAS SA,-28.6072,-65.1228,gas
Argentina,EL CARRIZAL,-33.2993,-68.7199,hydro
Argentina,NECOCHEA,-38.5785,-58.7108,coal
Argentina,SORRENTO,-32.9053,-60.6807,coal
Argentina,NIHUIL II,-34.9039,-68.6177,hydro
Argentina,RIO CORRALITO,-24.983,-65.686,hydro
Argentina,RIO CUARTO,-33.1614,-64.3649,gas
Argentina,RIO GRANDE,-53.7862,-67.7222,hydro
Argentina,RIO HONDO,-27.5225,-64.8861,hydro
Argentina,SALTO ANDERSEN,-38.8244,-64.8296,hydro
Argentina,SALTO GRANDE (MITAD ARGENTINA),-31.3891,-68.6752,hydro
Argentina,SAN FRANCISCO,-31.4391,-62.1119,gas
Argentina,SAN MARTIN DE LOS ANDES,-40.1511,-71.334,oil
Argentina,SAN NICOLAS,-33.3562,-60.1729,coal
Argentina,SAN PEDRO,-26.6253,-54.1102,oil
Argentina,SAN ROQUE,-31.3533,-64.3938,hydro
Argentina,SANTA ISABEL,-36.2314,-66.9381,oil
Argentina,QUEBRADA DE ULLUM,-31.2567,-61.5203,hydro
Argentina,SANTO TOME,-28.5497,-56.0722,oil
Argentina,SUDOESTE,-31.463,-64.2388,gas
Argentina,Saujil,-28.165,-66.225,solar
Argentina,TARTAGAL,-22.5099,-63.797,gas
Argentina,TENARIS SIDERCA CETE II,-33.3655,-60.1435,gas
Argentina,TOSTADO,-29.2352,-61.7577,oil
Argentina,ULLUM,-31.4557,-68.7556,hydro
Argentina,URUGUA-I,-25.8766,-54.5687,hydro
Argentina,VENADO TUERTO,-33.7777,-61.9555,oil
Argentina,VILLA GESELL,-37.2487,-56.9973,gas
Argentina,VILLA MARIA (LAS PLAYAS),-39.0872,-67.0881,gas
Argentina,VUELTA DE OBLIGADO,-32.5807,-60.7903,gas
Argentina,YACYRETA,-27.4827,-56.7397,hydro
