country,country_long,name,latitude,longitude,primary_fuel
ARG,Argentina,ALUMINE,-39.2145,-70.9157,Oil
ARG,Argentina,ALVAREZ CONDARCO,-33.0452,-69.0516,Hydro
ARG,Argentina,ARROYITO,-39.1009,-68.5982,Hydro
ARG,Argentina,ATUCHA I,-33.967,-59.2059,Nuclear
ARG,Argentina,ATUCHA II,-33.9674,-59.2045,Nuclear
ARG,Argentina,BANDERA,-23.8219,-64.7847,Oil
ARG,Argentina,BARILOCHE (PUERTO  MORENO),-41.1167,-71.4167,Oil
ARG,Argentina,BENJAMIN REOLIN,-32.1883,-64.3233,Hydro
ARG,Argentina,BERNARDO  DE IRIGOYEN,-26.2545,-53.6469,Oil
ARG,Argentina,C.T. RUFINO,-34.2605,-62.7107,Oil
ARG,Argentina,C.T. SAN VICENTE,-35.0241,-58.4237,Oil
ARG,Argentina,CAA CATI,-27.7534,-57.6205,Oil
ARG,Argentina,CABRA CORRAL,-25.2712,-65.3298,Hydro
ARG,Argentina,CACHEUTA (NUEVA),-33.0291,-69.1109,Hydro
ARG,Argentina,CACHI,-25.1089,-66.2106,Oil
ARG,Argentina,CAFAYATE,-26.0715,-65.9876,Oil
ARG,Argentina,CAPITAL CATAMARCA - PREDIO CHOYA,-28.4537,-65.7841,Oil
ARG,Argentina,CAPITAL CATAMARCA - PREDIO EX CARCEL,-28.4773,-65.7872,Oil
ARG,Argentina,CAPITAL CATAMARCA - PREDIO RIPIERA,-28.4684,-65.7797,Oil
ARG,Argentina,CASA DE PIEDRA,-38.2143,-67.1908,Hydro
ARG,Argentina,CASSAFFOUSTH,-31.3992,-64.2006,Hydro
ARG,Argentina,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,-38.7872,-62.2536,Coal
ARG,Argentina,CENTRAL LOMA DE LA LATA SA,-38.5127,-68.6048,Gas
ARG,Argentina,CENTRAL PARQUE INDUSTRIAL LA BANDA,-38.062,-67.9463,Oil
ARG,Argentina,CENTRAL T.GENELBA,-34.9027,-58.7334,Gas
ARG,Argentina,CENTRAL T.GENELBA PLUS,-34.9027,-58.7334,Gas
ARG,Argentina,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),-31.7112,-60.7811,Gas
ARG,Argentina,CENTRAL TERMICA DE CICLO COMBINADO SALTA,-24.7456,-65.0513,Gas
ARG,Argentina,CENTRAL TERMICA GÜEMES SA,-24.6894,-65.0425,Coal
ARG,Argentina,CENTRAL TERMICA LA BANDA,-27.7528,-64.2655,Gas
ARG,Argentina,CENTRAL TERMICA PIQUIRENDA SA,-22.3497,-63.7664,Oil
ARG,Argentina,CENTRAL TERMICA REMEDIOS DE ESCALADA,-34.7208,-58.3881,Oil
ARG,Argentina,CENTRAL TERMOELECTRICA GUILLERMO BROWN,-34.6268,-58.5438,Gas
ARG,Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,-24.6894,-65.0425,Gas
ARG,Argentina,CENTRAL TERMOELECTRICA TIMBUES,-32.5778,-60.791,Gas
ARG,Argentina,CH LOS CARACOLES,-31.5192,-68.9814,Hydro
ARG,Argentina,CHILECITO,-29.1578,-67.5069,Oil
ARG,Argentina,CHIMBERA 1,-31.9881,-68.5402,Solar
ARG,Argentina,CIPOLLETTI,-38.9121,-67.9427,Hydro
ARG,Argentina,COMANDANTE ANDRESITO,-25.6669,-54.0419,Oil
ARG,Argentina,COMODORO RIVADAVIA,-25.9913,-54.6278,Gas
ARG,Argentina,COMODORO RIVADAVIA - ANTONIO MORAN,-45.8467,-67.4964,Wind
