country,source,year,consumptionElectricity,productionElectricity,gdp,population,intensityPerCapita,intensityByGDP,co2emissions
Australia,natural_gas,1980,99.37,96.593,373.576,14723.55,202.766,7.992,0.0
Australia,petroleum_n_other_liquids,1980,359.093,258.191,373.576,14723.55,202.766,7.992,0.0
Australia,nuclear,1980,0.0,0.0,373.576,14723.55,202.766,7.992,0.0
Australia,renewables_n_other,1980,39.268,40.229,373.576,14723.55,202.766,7.992,0.0
Austria,all_energy_types,1980,321.61,139.811,212.487,7550.408,145.341,5.164,0.0
Austria,coal,1980,29.38,11.54,212.487,7550.408,145.341,5.164,0.0
Austria,natural_gas,1980,54.293,21.892,212.487,7550.408,145.341,5.164,0.0
Austria,petroleum_n_other_liquids,1980,145.88,18.673,212.487,7550.408,145.341,5.164,0.0
Austria,nuclear,1980,0.0,0.0,212.487,7550.408,145.341,5.164,0.0
Austria,renewables_n_other,1980,92.058,87.706,212.487,7550.408,145.341,5.164,0.0
Azerbaijan,all_energy_types,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,petroleum_n_other_liquids,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,all_energy_types,1980,40.174,64.696,0.0,339.605,403.643,0.0,0.0
Bahrain,coal,1980,0.0,0.0,0.0,339.605,403.643,0.0,0.0
Bahrain,natural_gas,1980,30.684,30.684,0.0,339.605,403.643,0.0,0.0
Bahrain,petroleum_n_other_liquids,1980,9.489,34.012,0.0,339.605,403.643,0.0,0.0
Bahrain,nuclear,1980,0.0,0.0,0.0,339.605,403.643,0.0,0.0
Bahrain,renewables_n_other,1980,0.0,0.0,0.0,339.605,403.643,0.0,0.0
Bangladesh,all_energy_types,1980,35.864,15.692,0.0,79639.5,1.537,0.0,0.0
Bangladesh,coal,1980,0.142,0.0,0.0,79639.5,1.537,0.0,0.0
Bangladesh,natural_gas,1980,13.789,13.789,0.0,79639.5,1.537,0.0,0.0
Bangladesh,petroleum_n_other_liquids,1980,19.948,0.0,0.0,79639.5,1.537,0.0,0.0
Bangladesh,nuclear,1980,0.0,0.0,0.0,79639.5,1.537,0.0,0.0
Bangladesh,renewables_n_other,1980,1.985,1.903,0.0,79639.5,1.537,0.0,0.0
Barbados,all_energy_types,1980,4.281,0.123,0.0,252.388,57.877,0.0,0.0
Barbados,coal,1980,0.0,0.0,0.0,252.388,57.877,0.0,0.0
Barbados,natural_gas,1980,0.123,0.123,0.0,252.388,57.877,0.0,0.0
Barbados,petroleum_n_other_liquids,1980,4.158,0.0,0.0,252.388,57.877,0.0,0.0
Barbados,nuclear,1980,0.0,0.0,0.0,252.388,57.877,0.0,0.0
Barbados,renewables_n_other,1980,0.0,0.0,0.0,252.388,57.877,0.0,0.0
Belarus,all_energy_types,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,petroleum_n_other_liquids,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,all_energy_types,1980,621.917,87.885,267.996,9860.275,215.215,7.918,0.0
Belgium,coal,1980,135.876,49.481,267.996,9860.275,215.215,7.918,0.0
Belgium,natural_gas,1980,115.796,0.432,267.996,9860.275,215.215,7.918,0.0
Belgium,petroleum_n_other_liquids,1980,330.694,0.0,267.996,9860.275,215.215,7.918,0.0
Belgium,nuclear,1980,36.27,36.27,267.996,9860.275,215.215,7.918,0.0
Belgium,renewables_n_other,1980,3.281,1.702,267.996,9860.275,215.215,7.918,0.0
Belize,all_energy_types,1980,1.053,0.122,0.0,144.142,24.921,0.0,0.0
Belize,coal,1980,0.0,0.0,0.0,144.142,24.921,0.0,0.0
Belize,natural_gas,1980,0.0,0.0,0.0,144.142,24.921,0.0,0.0
Belize,petroleum_n_other_liquids,1980,0.931,0.0,0.0,144.142,24.921,0.0,0.0
Belize,nuclear,1980,0.0,0.0,0.0,144.142,24.921,0.0,0.0
Belize,renewables_n_other,1980,0.122,0.122,0.0,144.142,24.921,0.0,0.0
Benin,all_energy_types,1980,1.913,0.0,0.0,3717.16,1.756,0.0,0.0
Benin,coal,1980,0.0,0.0,0.0,3717.16,1.756,0.0,0.0
Benin,natural_gas,1980,0.0,0.0,0.0,3717.16,1.756,0.0,0.0
Benin,petroleum_n_other_liquids,1980,1.796,0.0,0.0,3717.16,1.756,0.0,0.0
Benin,nuclear,1980,0.0,0.0,0.0,3717.16,1.756,0.0,0.0
Benin,renewables_n_other,1980,0.117,0.0,0.0,3717.16,1.756,0.0,0.0
Bermuda,all_energy_types,1980,2.338,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,petroleum_n_other_liquids,1980,2.338,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,all_energy_types,1980,0.04,0.019,0.538,406.883,0.332,0.251,0.0
Bhutan,coal,1980,0.005,0.0,0.538,406.883,0.332,0.251,0.0
Bhutan,natural_gas,1980,0.0,0.0,0.538,406.883,0.332,0.251,0.0
