idCountry,year,idSource,co2emissions
0,1980,0,0.0
0,1981,0,1.326
0,1982,0,1.51
0,1983,0,1.66
0,1984,0,2.06
0,1985,0,2.065
0,1986,0,2.094
0,1987,0,2.311
0,1988,0,3.647
0,1989,0,6.057
0,1990,0,6.024
0,1991,0,5.926
0,1992,0,2.694
0,1993,0,1.704
0,1994,0,1.602
0,1995,0,1.6
0,1996,0,1.302
0,1997,0,1.357
0,1998,0,1.255
0,1999,0,1.255
0,2000,0,1.253
0,2001,0,1.153
0,2002,0,0.849
0,2003,0,0.839
0,2004,0,0.707
0,2005,0,0.705
0,2006,0,0.803
0,2007,0,0.707
0,2008,0,1.16
0,2009,0,1.473
0,2010,0,6.231
0,2011,0,7.794
0,2012,0,11.098
0,2013,0,9.753
0,2014,0,7.911
0,2015,0,7.169
0,2016,0,7.853
0,2017,0,7.279
0,2018,0,7.886
0,2019,0,9.391
1,1980,0,0.0
1,1981,0,9.619
1,1982,0,9.533
1,1983,0,9.594
1,1984,0,9.981
1,1985,0,10.127
1,1986,0,10.089
1,1987,0,10.155
1,1988,0,9.828
1,1989,0,9.947
1,1990,0,9.313
1,1991,0,6.831
1,1992,0,4.757
1,1993,0,3.902
1,1994,0,2.891
1,1995,0,2.329
1,1996,0,2.464
1,1997,0,2.02
1,1998,0,1.958
1,1999,0,2.332
1,2000,0,2.927
1,2001,0,3.265
1,2002,0,3.579
1,2003,0,3.75
1,2004,0,4.251
1,2005,0,4.346
1,2006,0,4.638
1,2007,0,4.612
1,2008,0,3.173
1,2009,0,4.526
1,2010,0,3.023
1,2011,0,3.674
1,2012,0,3.757
1,2013,0,3.394
1,2014,0,3.857
1,2015,0,4.043
1,2016,0,3.914
1,2017,0,4.106
1,2018,0,4.484
1,2019,0,4.031
2,1980,0,0.0
2,1981,0,45.664
2,1982,0,39.376
2,1983,0,56.532
2,1984,0,63.169
2,1985,0,66.767
2,1986,0,61.757
2,1987,0,60.918
2,1988,0,64.343
2,1989,0,68.905
2,1990,0,66.69
2,1991,0,69.772
2,1992,0,76.419
2,1993,0,74.39
2,1994,0,68.124
2,1995,0,70.375
2,1996,0,72.737
2,1997,0,71.013
2,1998,0,67.108
2,1999,0,70.733
2,2000,0,70.689
2,2001,0,70.06
2,2002,0,70.833
2,2003,0,72.179
2,2004,0,72.479
2,2005,0,71.879
2,2006,0,82.857
2,2007,0,86.029
2,2008,0,87.289
2,2009,0,56.223
2,2010,0,99.38
2,2011,0,101.353
2,2012,0,112.489
2,2013,0,122.017
2,2014,0,118.721
2,2015,0,131.696
2,2016,0,138.622
2,2017,0,137.191
2,2018,0,137.678
2,2019,0,145.988
3,1980,0,0.0
3,1981,0,0.425
3,1982,0,0.5
3,1983,0,0.696
3,1984,0,0.439
3,1985,0,0.501
3,1986,0,0.469
3,1987,0,0.484
3,1988,0,0.503
3,1989,0,0.489
3,1990,0,0.548
3,1991,0,0.577
3,1992,0,0.577
3,1993,0,0.595
3,1994,0,0.578
3,1995,0,0.563
3,1996,0,0.547
3,1997,0,0.549
3,1998,0,0.563
3,1999,0,0.563
3,2000,0,0.563
3,2001,0,0.55
3,2002,0,0.55
3,2003,0,0.56
3,2004,0,0.56
3,2005,0,0.56
3,2006,0,0.592
3,2007,0,0.602
3,2008,0,0.602
3,2009,0,0.604
3,2010,0,0.602
3,2011,0,0.602
3,2012,0,0.355
3,2013,0,0.356
3,2014,0,0.355
3,2015,0,0.355
3,2016,0,0.355
3,2017,0,0.355
3,2018,0,0.355
3,2019,0,0.355
4,1980,0,0.0
4,1981,0,3.39
4,1982,0,3.389
4,1983,0,3.556
4,1984,0,3.867
4,1985,0,3.367
4,1986,0,4.322
4,1987,0,4.578
4,1988,0,4.689
4,1989,0,4.9
4,1990,0,4.733
4,1991,0,4.855
4,1992,0,5.011
4,1993,0,5.218
4,1994,0,5.099
4,1995,0,4.92
4,1996,0,5.299
4,1997,0,5.099
4,1998,0,5.718
4,1999,0,4.838
4,2000,0,5.699
4,2001,0,5.418
4,2002,0,7.34
4,2003,0,7.816
4,2004,0,8.275
4,2005,0,8.571
4,2006,0,8.475
4,2007,0,9.434
4,2008,0,10.428
4,2009,0,10.834
4,2010,0,12.354
4,2011,0,16.435
4,2012,0,17.3
4,2013,0,18.38
4,2014,0,20.114
4,2015,0,21.744
4,2016,0,22.911
4,2017,0,21.783
4,2018,0,19.151
4,2019,0,17.645
5,1980,0,0.0
5,1981,0,0.141
5,1982,0,0.1
5,1983,0,0.1
5,1984,0,0.1
5,1985,0,0.2
5,1986,0,0.2
5,1987,0,0.2
5,1988,0,0.2
5,1989,0,0.2
5,1990,0,0.2
5,1991,0,0.2
5,1992,0,0.2
5,1993,0,0.2
5,1994,0,0.2
5,1995,0,0.2
5,1996,0,0.2
5,1997,0,0.2
5,1998,0,0.2
5,1999,0,0.2
5,2000,0,0.2
5,2001,0,0.2
5,2002,0,0.2
5,2003,0,0.2
5,2004,0,0.2
5,2005,0,0.2
5,2006,0,0.3
5,2007,0,0.3
5,2008,0,0.2
5,2009,0,0.3
5,2010,0,0.2
5,2011,0,0.2
5,2012,0,0.014
5,2013,0,0.014
5,2014,0,0.014
5,2015,0,0.014
5,2016,0,0.014
