idCountry,idPrimaryFuel,namePlant,latitude,longitude
7,2,CENTRAL TERMICA GÜEMES SA,-24.6894,-65.0425
7,4,CENTRAL TERMICA LA BANDA,-27.7528,-64.2655
7,8,CENTRAL TERMICA PIQUIRENDA SA,-22.3497,-63.7664
7,8,CENTRAL TERMICA REMEDIOS DE ESCALADA,-34.7208,-58.3881
7,4,CENTRAL TERMOELECTRICA GUILLERMO BROWN,-34.6268,-58.5438
7,4,CENTRAL TERMOELECTRICA MANUEL BELGRANO,-24.6894,-65.0425
7,4,CENTRAL TERMOELECTRICA TIMBUES,-32.5778,-60.791
7,6,CH LOS CARACOLES,-31.5192,-68.9814
7,8,CHILECITO,-29.1578,-67.5069
7,13,CHIMBERA 1,-31.9881,-68.5402
7,6,CIPOLLETTI,-38.9121,-67.9427
7,8,COMANDANTE ANDRESITO,-25.6669,-54.0419
7,4,COMODORO RIVADAVIA,-25.9913,-54.6278
7,17,COMODORO RIVADAVIA - ANTONIO MORAN,-45.8467,-67.4964
7,8,CORRIENTES,-27.4708,-58.8042
7,2,COSTANERA,-34.626,-58.3393
7,4,CRUZ DE PIEDRA,-33.0349,-68.7971
7,8,CRUZ DEL EJE,-30.7636,-64.7538
7,4,CT 13 DE JULIO,-32.1613,-64.1537
7,8,CT ALEM,-43.0907,-65.2298
7,8,CT ALUMINE,-38.8706,-70.5753
7,8,CT ARISTOBULO DEL VALLE,-27.0922,-54.8625
7,8,CT ARRECIFES,-34.0414,-60.1297
7,8,CT AÑATUYA,-28.4431,-62.8569
7,8,CT AÑATUYA II,-28.4431,-62.8569
7,8,CT BARILOCHE,-41.1497,-71.2633
7,8,CT BELL VILLE,-32.6103,-62.6864
7,4,CT BRAGADO,-35.1364,-60.4311
7,8,CT CAPITAN SARMIENTO,-34.1636,-59.7683
7,8,CT CATAMARCA,-28.4706,-65.7647
7,8,CT CAVIAHUE,-38.0528,-70.6136
7,8,CT CERES,-29.8883,-61.9297
7,8,CT CHARATA,-27.2369,-61.1939
7,8,CT CHILECITO,-29.1581,-67.5072
7,8,CT CIPOLLETTI,-38.9133,-67.9414
7,8,CT COLON BUENOS AIRES,-33.9222,-61.0769
7,4,CT CONCEPCION DEL URUGUAY,-32.4767,-58.2672
7,8,CT CORRIENTES,-27.4708,-58.8042
7,2,CT ECOENERGIA (PETROBRAS),-38.6871,-62.3961
7,4,CT ENSENADA DE BARRAGAN,-34.8597,-57.9557
7,8,CT ESQUINA,-30.055,-59.5294
7,8,CT FORMOSA II,-26.1764,-58.2094
7,8,CT GENERAL VILLEGAS,-35.0347,-62.9981
7,8,CT GOYA,-29.1583,-59.2728
7,4,CT INDEPENDENCIA,-26.8666,-65.2247
7,8,CT INGENIERO JUAREZ,-23.9078,-61.8342
7,8,CT INTA CATAMARCA,-28.4733,-65.7275
7,8,CT ISLA VERDE,-33.2425,-62.395
7,8,CT JUAN JOSE CASTELLI,-25.9564,-60.6204
7,8,CT JUNIN,-34.5708,-60.9161
7,8,CT LA PLATA,-34.9344,-58.016
7,8,CT LA RIOJA DELIVERY,-29.3811,-66.8325
7,8,CT LA RIOJA SUR,-29.3808,-66.8319
7,8,CT LAGUNA BLANCA,-25.1286,-58.2597
7,4,CT LAS ARMAS,-37.0781,-57.8181
7,4,CT LAS ARMAS II,-37.0781,-57.8181
7,8,CT LAS PALMAS,-27.0289,-58.6997
7,8,CT LIBERTADOR GENERAL SAN MARTIN,-40.8421,-68.0869
7,8,CT LINCOLN,-34.8578,-61.5206
7,8,CT LOBOS,-35.1917,-59.0808
7,8,CT MAGDALENA,-35.1001,-57.4839
7,4,CT MATHEU,-34.3931,-58.8372
7,8,CT MEDANITOS (RINCON DE LOS SAUCES),-37.4102,-68.9
7,8,CT MIRAMAR I,-38.2472,-57.8242
7,4,CT OLAVARRIA,-36.9439,-60.2361
7,8,CT ORAN,-23.1258,-64.3069
7,4,CT PARANA,-31.7764,-60.4553
7,8,CT PARQUE INDUSTRIAL CATAMARCA,-28.5339,-65.7997
7,8,CT PASO DE LA PATRIA,-27.3236,-58.5667
7,8,CT PEHUAJO,-35.8336,-61.8758
7,4,CT PINAMAR,-37.0953,-56.8789
7,8,CT PIRANE,-25.6786,-59.0756
7,4,CT PLUSPETROL NORTE,-26.9955,-65.166
7,8,CT RAFAELA,-31.2567,-61.5203
7,8,CT REALICO,-35.055,-64.2406
7,4,CT ROCA,-31.8919,-60.0106
7,8,CT SAENZ PEÑA  I,-26.8156,-60.4114
7,8,CT SAENZ PEÑA  II,-26.8153,-60.4125
7,8,CT SALTO,-27.4597,-65.6055
7,8,CT SAN MARTIN NORTE III,-34.5252,-58.6206
7,4,CT SAN MIGUEL DE TUCUMAN,-26.9955,-65.166
7,8,CT SAN MIGUEL NORTE III,-34.5252,-58.6206
7,8,CT SANTA ROSA,-28.2628,-58.0006
7,8,CT TARTAGAL,-22.5406,-63.8056
7,8,CT TEREVINTOS,-28.4289,-65.7878
7,8,CT TINOGASTA,-28.0486,-67.5667
7,4,CT TUCUMAN,-26.9955,-65.166
7,8,CT VENADO TUERTO,-33.7736,-61.9564
7,8,CT VIALE,-31.8919,-60.0106
7,8,CT VILLA ANGELA,-27.5808,-60.7094
7,8,CT VILLA REGINA,-39.0872,-67.0881
7,6,CUESTA DEL VIENTO,-30.1833,-69.0667
7,13,Cafayate,-26.04,-65.93
